Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
Infrastructure,B,late,1158,1105,287,166,1.0522802379556917,1.0180152437885617,0.9208114486312808,0.9866078582858727,-0.017664166555946995,0.651186881283619,,,,,
Infrastructure,B,mid,5355,5306,1472,1624,1.1454005972881631,1.0128618130420006,0.8847510361601671,0.8975015819474678,-0.044107735203960476,0.0,,,,,
Infrastructure,B,post_0_4,194,172,22,4,0.9966857388047302,1.0,0.9944106322196001,1.0,-0.000675781940637236,0.509988175023503,,,,,
Infrastructure,B,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Infrastructure,B,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Infrastructure,B,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Infrastructure,C,far,137,78,3,55,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Infrastructure,C,final,260,239,37,11,1.0,1.0,0.9867920967195793,1.0,-0.0024333555714762603,0.5788636394620676,,,,,
Infrastructure,C,late,1158,1105,287,166,1.0522802379556917,1.0180152437885617,0.9208114486312808,0.9866078582858727,-0.017664166555946995,0.651186881283619,,,,,
Infrastructure,C,mid,5355,5306,1472,1624,1.1454005972881631,1.0128618130420006,0.8847510361601671,0.8975015819474678,-0.044107735203960476,0.0,,,,,
Infrastructure,C,post_0_4,194,172,22,4,0.9966857388047302,1.0,0.9944106322196001,1.0,-0.000675781940637236,0.509988175023503,,,,,
Infrastructure,C,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Infrastructure,C,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Infrastructure,C,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Other Private Debt,A,far,77,67,49,35,1.0,1.0,1.0,1.0,0.0,0.0,0.4359847574501612,0.859784843684488,0.6025913468626765,0.6498815410186936,0.4065459189662828
Other Private Debt,A,final,4,4,0,0,1.0,1.0,1.0,1.0,0.0,0.13196014187297297,,,,,
Other Private Debt,A,late,29,27,15,6,1.0,1.0,1.0,1.0,0.0,0.3294075287235788,,,,,
Other Private Debt,A,mid,17,17,17,4,1.0,1.0,1.0,1.0,0.0,0.0,0.03525309188692871,0.7583253401070729,0.16186263776403198,1.0,0.0023020755682218643
Other Private Debt,A,post_0_4,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.026525237297297298,,,,,
Other Private Debt,A,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Other Private Debt,A,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
