quarter_end,index_level,msci_ret_q,msci_ret_q_lag1
2018-03-31,289.61,-0.02720768533136264,0.019939018123265484
2018-06-30,297.17,0.02610407099202372,-0.02720768533136264
2018-09-30,295.18,-0.006696503684759603,0.02610407099202372
2018-12-31,253.82,-0.14011789416627152,-0.006696503684759603
2019-03-31,285.97,0.12666456544007576,-0.14011789416627152
2019-06-30,291.05,0.017764101129489118,0.12666456544007576
2019-09-30,294.48,0.011784916680982693,0.017764101129489118
2019-12-31,320.44,0.0881553925563705,0.011784916680982693
2020-03-31,235.81,-0.26410560479340905,0.0881553925563705
2020-06-30,275.4,0.16788940248505146,-0.26410560479340905
2020-09-30,289.78,0.052214960058097226,0.16788940248505146
2020-12-31,330.71,0.14124508247636136,0.052214960058097226
2021-03-31,355.9,0.07616945359983074,0.14124508247636136
2021-06-30,376.62,0.0582186007305423,0.07616945359983074
