ratio,group_n,n,n_pos,zero_share,dist,aic,bic,ks_p,n_fit,params,Adj Strategy,Grade,AgeBucket
rep_ratio,223,223,71,0.6816143497757847,beta,-201.06983718515795,-192.0191176769927,0.46592738391697286,71,"(np.float64(0.43918727650254186), np.float64(3.5527805442208704), 0, 1)",Private Equity,A,16-19
rc_ratio_given_rep,223,71,29,0.5915492957746479,beta,6.67905899562347,11.221035859340068,0.2026041878653948,23,"(np.float64(0.7537400277308073), np.float64(0.8893491489013255), 0, 1)",Private Equity,A,16-19
draw_ratio,1072,928,281,0.697198275862069,beta,-553.5247270153857,-539.1162517318669,0.16704187377933766,271,"(np.float64(0.7042317138270286), np.float64(4.523746276205256), 0, 1)",Private Equity,A,20+
rep_ratio,1072,1039,376,0.6381135707410972,gamma,-397.5152667093293,-385.7264992791596,0.5138599607307315,376,"(0.6697629313314216, 0, np.float64(0.3419034086001055))",Private Equity,A,20+
rc_ratio_given_rep,1072,376,99,0.7367021276595744,beta,-93.0972657594754,-83.82731330533016,0.6417638690091183,75,"(np.float64(0.6167303926511629), np.float64(2.4573505933558804), 0, 1)",Private Equity,A,20+
draw_ratio,629,577,314,0.4558058925476603,lognorm,-1025.6046919460823,-1014.3565129883575,0.01200964222599759,314,"(np.float64(1.3910860734486263), 0, np.float64(0.03365122048560067))",Private Equity,B,0-3
rep_ratio,629,255,2,0.9921568627450981,weibull_min,-9.228241584364186,-13.14880004268435,0.9252299091434407,2,"(np.float64(1.0840045774539502), 0, np.float64(0.00846017332418734))",Private Equity,B,0-3
rc_ratio_given_rep,629,10,1,0.9,lognorm,-71.05915374898628,-77.05915374898628,1.0,1,"(np.float64(7.37441270765748e-18), 0, np.float64(1.0))",Private Equity,B,0-3
draw_ratio,651,635,363,0.4283464566929134,beta,-1031.3281211579222,-1015.7615443106191,0.03634889560075938,362,"(np.float64(0.945171791821694), np.float64(9.818576077102742), 0, 1)",Private Equity,B,4-7
rep_ratio,651,578,27,0.9532871972318339,lognorm,-64.07859495632383,-60.19108435831084,0.8221071163693072,27,"(np.float64(1.5264192622164825), 0, np.float64(0.04329946790297899))",Private Equity,B,4-7
rc_ratio_given_rep,651,30,12,0.6,weibull_min,-3.7088583047260926,-2.254138355362091,0.0028027938409740383,12,"(np.float64(8.2339686192622), 0, np.float64(0.9772003142749703))",Private Equity,B,4-7
draw_ratio,616,605,398,0.3421487603305785,weibull_min,-930.7774421041568,-918.8180860883034,0.0764164486225708,398,"(np.float64(0.9595473981098539), 0, np.float64(0.11148965630704452))",Private Equity,B,8-11
rep_ratio,616,613,79,0.8711256117455138,beta,-199.4165403046328,-189.93874889476473,0.8233057986700348,79,"(np.float64(0.5584603131950312), np.float64(4.4959713973696225), 0, 1)",Private Equity,B,8-11
rc_ratio_given_rep,616,80,41,0.4875,beta,5.887745058975517,9.220598435200381,0.9827351846709869,17,"(np.float64(0.9297777066455215), np.float64(0.6908867771799133), 0, 1)",Private Equity,B,8-11
draw_ratio,562,552,340,0.38405797101449274,weibull_min,-580.9431102219608,-569.4562733691301,0.6766734176984164,340,"(np.float64(0.8954975810888584), 0, np.float64(0.14795889245131028))",Private Equity,B,12-15
rep_ratio,562,559,103,0.815742397137746,gamma,-241.17661887636947,-233.27243191168057,0.5495204350726546,103,"(0.5627120470550726, 0, np.float64(0.22657195597463825))",Private Equity,B,12-15
rc_ratio_given_rep,562,103,47,0.5436893203883495,beta,-2.0311879467382727,2.3329818666949915,0.1484471483453439,22,"(np.float64(0.9863677272781074), np.float64(2.115927910119534), 0, 1)",Private Equity,B,12-15
draw_ratio,494,479,298,0.3778705636743215,beta,-455.05648682409424,-440.29504900679797,0.11711832811745271,296,"(np.float64(0.8869941099848225), np.float64(4.311942624501062), 0, 1)",Private Equity,B,16-19
