quarter_end,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_rc_mean,sim_draw_p10,sim_draw_p50,sim_draw_p90,sim_rep_p10,sim_rep_p50,sim_rep_p90,sim_nav_p10,sim_nav_p50,sim_nav_p90,sim_rc_p10,sim_rc_p50,sim_rc_p90,sim_dpi_p05,sim_dpi_p50,sim_dpi_p95
2032-03-31,105355775.22758816,152493832.15100116,6644606510.645237,8290745.027183448,38117791.88421173,97658799.93406987,180939815.44838053,14757517.196601762,113122880.39682162,343116315.546719,5791735938.341792,6629931461.061581,7499310475.960415,0.0,0.0,22082501.720567234,0.07920322140797155,0.16104677089200464,0.26328482748395043
2032-06-30,69757219.60520475,163695136.68908963,6839202354.706621,10615657.387773843,21750370.919423703,60592154.12785106,131565710.42854974,17535252.21658472,121230579.06342186,361369240.9144527,5982719466.690347,6798579318.439339,7723359707.317053,0.0,0.0,26104489.988689687,0.10103235996072941,0.18822337742570083,0.2962097460979122
2032-09-30,54568286.85132104,170669699.4618182,7016779460.463976,11109310.31493693,10571495.717803169,49464263.86695638,106692628.08258283,25602910.146465067,128962876.62539658,366475512.6285699,6083264817.695461,6964413893.830086,7960170023.805717,0.0,0.0,28827754.79297899,0.12514916907998605,0.21610051313023612,0.3352070278513786
2032-12-31,36842910.54343257,270735631.1335582,7091862145.221278,14209381.064605055,4103187.3191967336,29494835.609369665,77413227.98067132,53640417.91672131,221967237.75757205,541664454.6165853,6135566447.766889,7054871853.135373,8094161840.713559,0.0,0.0,40761316.340862505,0.16024022577509395,0.2655376458065387,0.395775167671938
2033-03-31,25600589.441778373,277038688.0200197,7075318944.009125,14505762.536568172,460503.9189660495,18726520.112286344,59980356.652174234,52930369.82692453,216166652.62056524,580176528.2626594,6050078221.912511,7000292018.343242,8146243755.510223,0.0,0.0,41656855.04681956,0.1928087009580262,0.3076735519468265,0.45824717742490495
2033-06-30,16336588.810787573,302854642.1077227,7039905212.386201,13383742.325065214,0.0,10353200.647055872,40911946.96715951,66440530.24987449,244530121.31579387,627700249.7235534,5927352600.349755,6965711969.225216,8222852506.900957,0.0,283898.54581806646,43081029.57965659,0.23042906757653744,0.36178629738450774,0.5256499059758195
2033-09-30,13442503.125581093,291784521.626503,6976984380.860739,13125968.338231381,0.0,7720896.124719447,34876891.76375414,70168113.40010041,231388196.03888956,580631295.0429299,5858683959.303266,6899162963.663765,8166541731.712851,0.0,30245.616324209208,31948438.0539908,0.27694467974033443,0.4134611779282467,0.582306901479427
2033-12-31,10138726.30616488,367895204.10716254,6848340590.098155,18700707.69268662,0.0,4445714.958863692,28397228.378413778,79801696.84287941,298706780.4934259,739125224.2149875,5684604145.793235,6779293330.55169,8148324146.523492,0.0,180665.59283863197,52745782.30279782,0.3257001091957983,0.4770131276264681,0.6584172493919646
2034-03-31,9843536.499786554,391223101.6820301,6606392098.853538,16594974.226787187,0.0,4162621.618238885,26223603.97317607,98085095.13369001,318375274.2671747,771522415.9614109,5398965567.621045,6541102892.531266,7860441202.621119,0.0,254694.58470368764,43258255.221412696,0.37416507247581343,0.5462677460684655,0.7410267753511185
2034-06-30,6309660.892327973,402841228.51318336,6328089901.927285,16671543.501994077,0.0,2710637.3811354507,17688178.074658304,95155572.34799966,335494214.1941781,788512104.4135545,5133786101.507567,6236702558.470213,7659937453.256464,0.0,240768.00703225145,42373274.36064406,0.44144462647484445,0.6133654123913904,0.8245128255334437
