quarter_end,quarter_text,quarter_index,years_from_start,draw_q_mean,rep_q_mean,recall_q_mean,nav_mean,cum_draw_mean,cum_rep_mean,cum_recall_mean,dpi_to_date,rvpi_to_date,tvpi_to_date,nav_share_of_total_value,irr_to_date,is_final
2036-06-30,2036Q2,42,10.5,4157972.829640624,290164945.933589,15999917.31080859,4078371351.0884004,5727938868.444233,6309414858.483768,316094703.36312824,1.101515746483075,0.7120137705303632,1.813529517013438,0.392612176339387,0.1273332273432236,False
2036-09-30,2036Q3,43,10.75,3602430.5335009173,264599090.30820805,12323119.137202814,3846532313.6643653,5731541298.977734,6574013948.791977,328417822.50033104,1.1469888474788632,0.6711165658616863,1.8181054133405496,0.36912962303356794,0.12564173082196606,False
2036-12-31,2036Q4,44,11.0,3368367.898030675,254892950.60480666,11918783.224458933,3612592853.023158,5734909666.875764,6828906899.396784,340336605.72479,1.1907610225911374,0.6299302103900808,1.820691232981218,0.3459840960285324,0.12395545255080676,False
2037-03-31,2037Q1,45,11.25,2914296.6862376384,239412331.57480204,14461604.523885714,3416586508.888509,5737823963.562001,7068319230.971586,354798210.2486757,1.2318815069717863,0.5954498657654035,1.82733137273719,0.3258576274939499,0.12288064504565199,False
2037-06-30,2037Q2,46,11.5,2838638.1307947626,224694096.76273614,15289683.647805255,3226910103.383467,5740662601.692796,7293013327.734323,370087893.896481,1.2704131619900065,0.5621145723547526,1.8325277343447592,0.30674273672356883,0.12179519937844197,False
2037-09-30,2037Q3,47,11.75,3630738.732090855,219292344.71087873,10823301.963339,3050832571.4352913,5744293340.424887,7512305672.445201,380911195.85981995,1.3077858715149704,0.5311066811239189,1.8388925526388895,0.288818767775071,0.12094143418514591,False
2037-12-31,2037Q4,48,12.0,3406827.642788148,192639280.48363113,9420899.552329736,2891157341.061871,5747700168.067675,7704944952.928832,390332095.41214967,1.3405265980530723,0.5030111621208405,1.843537760173913,0.2728510220877646,0.12005114242555803,False
2038-03-31,2038Q1,49,12.25,3442475.980691463,181048376.44227403,9612559.949421305,2763388563.199079,5751142644.048367,7885993329.371106,399944655.36157095,1.37120461401388,0.4804938312665227,1.8516984452804026,0.259488164766354,0.11958551801237494,False
2038-06-30,2038Q2,50,12.5,3430402.4094196404,173834811.80605012,9537301.899823505,2626184266.397916,5754573046.457787,8059828141.177156,409481957.26139444,1.4005953310712362,0.45636474595008525,1.8569600770213217,0.24575905082575733,0.11894366763733111,False
2038-09-30,2038Q3,51,12.75,3855514.8519188003,161033552.03600934,9909828.378692543,2498847560.454469,5758428561.309706,8220861693.213166,419391785.640087,1.427622415679218,0.43394609030039394,1.8615685059796119,0.2331077738511905,0.1183228028733675,False
2038-12-31,2038Q4,52,13.0,3418215.701168543,158773106.31190994,7002527.599286914,2377986067.4273167,5761846777.010875,8379634799.525076,426394313.2393739,1.4543314190441305,0.41271247908139724,1.8670438981255277,0.22105129905930532,0.11783504465124953,False
2039-03-31,2039Q1,53,13.25,3906514.7725650794,146236267.67076424,12813588.019155096,2267799520.162074,5765753291.78344,8525871067.19584,439207901.258529,1.4787089623390133,0.39332233021378676,1.8720312925528,0.21010457024862647,0.1173983066676535,False
2039-06-30,2039Q2,54,13.5,3046372.290722421,131593720.4039723,6824072.536124902,2122040085.1032531,5768799664.0741625,8657464787.599812,446031973.7946539,1.5007393724408788,0.36784776880335995,1.8685871412442387,0.19685877135942434,0.11638929062059,False
2039-09-30,2039Q3,55,13.75,2908976.382461308,131719702.45060354,9464638.109769193,1982779527.444941,5771708640.456624,8789184490.050415,455496611.90442306,1.5228046038989012,0.34353423759936624,1.8663388414982673,0.18406852494351048,0.11553408074689908,False
2039-12-31,2039Q4,56,14.0,3328015.929972921,119463435.99288268,5934400.477395754,1843030366.0921087,5775036656.386597,8908647926.043297,461431012.38181883,1.5426132258729905,0.31913743163065583,1.8617506575036464,0.17141792341761575,0.11459277709774629,False
