scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
neutral,Private Equity,B,6-8y,3,1664022.959855153,536672.6225302798,71144.9743444478,0.43333333333333335,5600364.746038482,3406139.061262562,1824643.6502558677,0.6333333333333333,26226888.924591355,22415223.258494314,-11663275.229540417,0.5333333333333333
neutral,Private Equity,B,8-10y,2,5302689.645906918,982625.7553607505,956982.1381829813,0.9,9917952.681693865,4623040.872737485,-313578.64117830346,0.3333333333333333,21362927.309156667,15530863.931870768,6554880.662845661,0.5666666666666667
neutral,Private Equity,C,0-2y,28,33566559.90535555,20337258.44914365,-2399422.1649815133,0.3,18537002.0523461,13005085.208504293,262279.881171919,0.6666666666666666,184657998.0228965,146588809.8159374,-146364528.4673239,0.3333333333333333
neutral,Private Equity,C,10-15y,3,805472.1052468845,198138.42062760965,92614.72209366862,0.6666666666666666,1452125.985449713,663027.1119585889,238884.55735532162,0.5,6274090.071662967,5629370.035023504,-5629370.035023504,0.1
neutral,Private Equity,C,2-4y,5,4300687.43456882,2033239.1556620968,385982.793498485,0.26666666666666666,5358361.637079826,3574229.131492091,-153555.1176102847,0.4,14271059.54883546,12667092.413553422,-11283023.480772322,0.4
neutral,Private Equity,C,4-6y,3,2911155.344089677,874235.5461041579,168412.08143352982,0.5,5972683.782750324,3892202.256660854,921038.89008583,0.4666666666666667,27367539.877776418,23190978.771129124,-13905708.980840897,0.36666666666666664
neutral,Private Equity,C,6-8y,3,1842037.666447946,503058.84339495,177265.66632281322,0.4666666666666667,4960338.264090182,2818226.6250884603,129252.34903438088,0.36666666666666664,31057421.990008596,26473089.63920923,26473089.63920923,0.7
neutral,Private Equity,C,8-10y,4,4019080.7672611866,792947.2756666668,673364.4303333334,0.5333333333333333,3815429.4766231864,2280647.7467244207,661516.383322181,0.36666666666666664,16836906.20084926,15914205.063294914,-13654729.910346458,0.13333333333333333
neutral,Private Equity,D,10-15y,1,745447.8739377996,136099.53866666675,136099.53866666675,0.9666666666666667,759696.1459745531,138700.90533333342,138700.90533333342,0.9666666666666667,36706.59445749043,24340.333333333332,-24340.333333333332,0.5333333333333333
neutral,Private Equity,D,8-10y,2,708327.8976646865,201237.4976351331,45237.4976351331,0.8333333333333334,3385777.213975008,2128833.445004457,665254.474127461,0.3,12253632.677986845,9740340.304959953,-8467593.675878622,0.23333333333333334
neutral,Special Structure/ FoF,B,0-2y,2,2653896.4890424414,1658003.2486556491,272442.30896997795,0.6666666666666666,816274.1490304633,602365.3763216779,-293426.5232044849,0.3333333333333333,8938413.221079214,8235615.13501611,1076090.6108433006,1.0
neutral,Special Structure/ FoF,C,0-2y,1,1302044.555872757,963652.7563588484,170817.71264549298,0.6333333333333333,73483.45174591542,26924.59028863528,-15108.46813166503,0.9333333333333333,7818233.736045166,6876966.148005249,-3390161.375641656,0.23333333333333334
neutral,Special Structure/ FoF,C,10-15y,2,11205190.57375159,2406350.356,1666902.9840000002,0.8,7570247.812303777,3867921.884029919,-2046485.490985214,0.3333333333333333,46361726.72996003,39359776.6371598,-31570688.860386506,0.0
neutral,Special Structure/ FoF,C,8-10y,1,591815.6620857457,183959.73666666663,0.0033333333131546775,0.8,602106.1157337556,422091.36141305865,77716.50632888357,0.6333333333333333,3896089.0960535775,3259010.3740762156,103216.12464551112,0.6333333333333333
neutral,TTA,A,4-6y,2,2070954.1421939475,717673.1426166666,-7901.3645099999685,0.5,5648479.366739387,3145163.7939848835,-664175.1686871038,0.4,56332293.66381831,49030479.6662452,-45307252.18630894,0.1
neutral,TTA,B,0-2y,1,3753736.7634306983,1971483.4134661152,-283333.33333333326,0.6333333333333333,419063.84512937546,146372.90581252312,146372.90581252312,1.0,5890367.1033106195,4089986.3054191084,-2282874.4795348574,0.9
neutral,TTA,B,2-4y,3,4253308.004997884,2537028.280850069,46727.45851424697,0.16666666666666666,4106043.4819888463,2433711.3315336793,1587220.5586576075,0.6,24320857.94694931,19296822.409596607,-12456578.855069531,0.5666666666666667
