quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2021-03-31,289610218.1189999,621703258.1256001,12904459753.871601,262781508.58779135,480807220.3650473,9036502345.60074,223176705.89747676,293344038.7040999,144146680.78391054,980573787.3746462,7701628597.137924,10452884457.941063
2021-06-30,330598550.47450006,660029351.9797999,14041943639.4417,369542285.0561989,708495345.124852,8824832850.53322,318013682.4259898,416114208.48177284,164353542.14979458,1712681148.4458945,7508788363.508832,9802488141.228863
2021-09-30,316435227.4358,982704218.8742,14379391834.694086,284300752.11954886,550758031.037343,8611035335.334766,235835106.76112357,361104406.1097894,220401359.39620185,1360553974.247889,7603772302.462038,9751156841.335163
2021-12-31,268151999.65469995,766504784.3957995,14936467074.849611,422270270.5111443,301188838.7808188,8825474259.5864,365413321.944436,518663745.16006917,192233724.52118194,395873271.3308151,7824901229.592185,9890440388.252193
2022-03-31,207813241.4955999,822822093.3416002,14383615931.632698,482829195.0032924,288111668.74361825,9148495526.643595,261926253.99712348,665854461.9758264,77354487.41618675,608392897.5780274,8387536417.1465645,9808787940.734886
2022-06-30,230442559.47529998,477512816.3944999,13809503873.534796,4322654.50994269,359357882.7215479,9098157191.04483,1371559.8697721565,9692503.401356466,171452938.95666918,687739954.9238731,8326748423.503182,9645424631.802567
2022-09-30,181058178.5801,607962605.0822,13330544470.0104,51594360.13364742,554153376.8845183,8787974741.96766,17591068.798827976,76353544.68901016,212251477.11146888,1168751066.7141669,8112030491.206434,9586569417.179739
2022-12-31,170346550.56290016,479743852.69110024,12823112295.428297,5457161.451329435,752690120.9177096,8245517493.311727,1163306.8556510785,11647084.496347317,256765521.85120425,1107710673.9376888,7746161730.925348,8988756322.01049
2023-03-31,112463245.04819992,377065869.07879984,12491540120.348593,3953787.80135095,273142975.6857937,8195413041.67816,1571121.4695780985,6247192.493470141,104995632.28006321,445478991.5952829,7844393299.958345,8809057755.23014
2023-06-30,138663096.92509994,229127754.12270007,12590181041.980497,7626561.998434251,689265574.0943543,7692623350.481672,1079797.7074460704,12442781.063504016,205156529.19758797,1654733571.446083,6581363762.463673,8324765540.157312
2023-09-30,117852423.1545999,357261766.1109001,12359351901.0387,4319638.454193154,1022179300.3890564,6871932193.507729,555556.6658637037,9992280.758344434,347879154.9402182,1615039344.173472,5732425466.475159,8099830236.675681
2023-12-31,123874890.20340006,376438257.2669002,12234766683.785896,11828419.178955223,581830471.3927886,6436738507.540094,3009267.633327702,28129735.49668147,285088373.9260173,1093780967.731835,5455826650.244378,7192334889.825082
2024-03-31,58533824.33159998,298334324.97700006,12203743608.133593,3703024.853422082,641019621.5549581,5881058013.7570505,655817.7018020015,7663324.2683851775,310065805.84298515,1345583162.2635808,5083639713.428982,6752330669.177645
2024-06-30,66873294.8487,482236200.4127999,12019439233.405392,8821573.85042181,589627178.1584332,5347542039.935089,7275338.224622492,10436012.499908563,404879508.7344852,833062457.4665209,4281216607.0810823,6454334886.058926
2024-09-30,68421631.12879999,464543072.9968001,11630071157.614693,6044832.792287817,877614927.6863464,4538818556.2882,3254378.2348808427,7744433.40805794,564690678.9914433,1669416829.2707067,3571724956.8853803,5236941627.955222
2024-12-31,69922581.2637,588884149.7088,11396036715.323397,5156967.196265968,541983757.8285708,4086127546.7583795,2746685.6344308225,8824600.346846767,278934858.3826499,878336281.6436518,3227006142.8907948,4934379811.7700205
2025-03-31,45367120.6475,356241870.48209995,10964042949.854696,3342844.2995023523,548040834.558744,3493433353.3499475,1369804.3170162565,5830085.108641278,424814356.208986,801563629.0161494,2516736035.489121,4402485690.717254
2025-06-30,38228629.6841,297947413.90500003,10580567084.8513,4139486.08317433,640626005.6298529,2918952493.135677,1374643.1903012756,9037843.619902609,432458954.48856235,1071966799.150665,2096509797.942696,4066931050.47929
2025-09-30,36909273.97890001,517213836.60980004,10100945175.670399,2709268.6105188914,406564114.0115756,2593544414.8961596,817445.1631968254,5964112.720686426,318547435.7159291,497043732.99819636,1765301020.391791,3640064966.234003
