scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
conditional,Hybrid Debt-Equity,B,2-4y,7,1850328.7586554196,1108407.467578967,150827.25223819492,0.7333333333333333,5861665.719234358,4191036.122778178,-1902756.0163690432,0.5333333333333333,24347631.76720747,22508472.51605369,-22508472.51605369,0.1
conditional,Hybrid Debt-Equity,B,4-6y,3,1648544.889544191,1076438.9169495436,187661.04205252833,0.7,5887547.050031787,3540245.8360659163,-2557613.689412728,0.6,17434246.11500797,14809306.909522874,-14809306.909522874,0.2
conditional,Hybrid Debt-Equity,B,6-8y,1,244405.8631487251,119723.4906631887,22872.492034144754,0.8333333333333334,3229224.8407241544,1677670.6840807928,-524452.7219397045,0.7,8891673.089227192,5444463.0259351665,4924763.148614566,0.6666666666666666
conditional,Hybrid Debt-Equity,C,0-2y,4,2279236.6086796504,1129479.32950371,58251.70674341136,0.6666666666666666,5065877.065880464,2470305.5939915236,-2002419.1837827468,0.5333333333333333,15016564.24785219,10846428.465733418,-10412542.939168122,0.5333333333333333
conditional,Hybrid Debt-Equity,C,2-4y,7,2616063.5146393445,1989231.7187509506,410395.530528056,0.7333333333333333,9755271.535972415,5779603.18881349,-2170216.9081892204,0.8333333333333334,20237127.838011682,17932194.86234859,-17689516.793480787,0.6666666666666666
conditional,Hybrid Debt-Equity,D,10-15y,1,5038.241453321689,2917.1080220682634,2917.1080220682634,0.7666666666666667,71632.75468124104,31514.245295240504,28516.00596190717,0.9333333333333333,707095.1441869572,635291.5765305259,629683.0360924769,0.06666666666666667
conditional,Other Private Debt,A,0-2y,1,3152203.717579249,1491685.771377404,-409345.9041041397,0.8333333333333334,3182811.1440505446,2090300.4997565604,-1292986.5444712138,0.5,37682666.35929104,36569264.47680949,-36569264.47680949,0.0
conditional,Other Private Debt,B,0-2y,3,4992386.428498708,3040877.88518297,-861367.016420779,0.7666666666666667,4314226.045036623,2949052.980911436,-987623.4499079705,0.5333333333333333,48404043.00092101,40828198.41927063,-40828198.41927063,0.26666666666666666
conditional,Other Private Debt,B,2-4y,2,854560.1413271255,488356.2374709324,106470.29115538181,0.6,3494836.2773186313,1714421.0982637778,-616517.9274361263,0.5666666666666667,13391030.272799358,12319914.93317429,11878104.3598659,0.3
conditional,Other Private Debt,B,4-6y,1,470616.87951614434,304961.91275960865,112771.28930742378,0.8666666666666667,1783045.1642055444,1279272.2223498747,-745354.7435899539,0.5333333333333333,4835509.198168657,3421222.5939703607,-2689079.1684505963,0.6
conditional,Other Private Debt,B,nan,1,2645478.074694383,1610642.501327962,684748.1865989385,0.8333333333333334,1522450.3754045125,690899.2353198811,348552.41476035374,0.8,10585412.797353916,8918852.568975022,-6951321.151657005,0.5
conditional,Other Private Debt,C,0-2y,1,1826389.2864269149,1176048.0537763115,-68033.43825766326,0.7333333333333333,2108611.442581582,1389076.8862910701,-33853.20690458837,0.6333333333333333,5698264.637412496,4724583.202307002,2908587.9965358316,0.9333333333333333
conditional,Other Private Debt,C,2-4y,2,3109288.52247552,2274836.658519183,1477872.5387846408,0.7333333333333333,4338806.39347284,2545689.3239341383,331365.00004613557,0.5333333333333333,33404815.920229796,24556461.83999433,21447594.209544837,0.6
conditional,Other Private Debt,C,4-6y,1,471190.9339459389,273877.0951126284,59211.05864490232,0.8666666666666667,2015473.1523450662,1066389.7145357295,-159583.93688201232,0.7666666666666667,7428184.444767437,6196520.30477934,5191886.8975112485,0.36666666666666664
conditional,Other Private Debt,C,nan,4,6439665.083376339,3606678.3949958524,-2564237.450117481,0.6,4657372.77264905,3345094.0181290987,-2805034.555682939,0.5333333333333333,70230140.24404147,63239408.75844454,-63239408.75844454,0.2
conditional,Other Private Debt,D,0-2y,3,4209440.2630470935,2475347.0336295655,-215304.197791161,0.36666666666666664,4009899.65544934,3042084.5013588076,-1759877.7522917415,0.5,24099538.90333804,19261416.97630443,16818098.790622912,0.7
conditional,Private Equity,A,0-2y,8,7937612.974931157,5730859.218015636,14781.878728099846,0.7,12623374.342440017,9231093.786209684,-4057094.8067430016,0.6,166642627.86472088,141964446.11807105,-140321865.3526923,0.2
conditional,Private Equity,A,10-15y,4,561957.8709482212,404152.6065485418,404152.6065485418,0.4666666666666667,5724733.662251056,2415643.686006503,751467.0156566525,0.6666666666666666,10557456.464045923,9782066.279548379,8898415.804998366,0.13333333333333333
conditional,Private Equity,A,2-4y,18,8723069.353418872,5839771.082134543,1097685.5656509446,0.8333333333333334,26953236.765354563,18668715.216783497,-2682024.6832517176,0.8333333333333334,182850063.8264827,169379587.96827278,-169379587.96827278,0.4
conditional,Private Equity,A,4-6y,6,2169336.6464817063,1370440.0537589246,538111.940007004,0.6333333333333333,16573762.406286407,9962006.15317692,3844642.076747371,0.7666666666666667,36456580.99870845,26979883.294911373,22260381.374205943,0.9333333333333333
conditional,Private Equity,A,6-8y,5,2216806.0877576065,1112275.7333907874,-711305.5712027483,0.5333333333333333,6321285.269403587,4352063.4640801,-1521813.357785492,0.5,65669342.70273526,62162824.81399079,-61775896.40642044,0.1
conditional,Private Equity,A,8-10y,3,372711.7158899328,231075.07751834343,231075.07751834343,0.5333333333333333,8494941.188707983,3669328.2404915043,-387694.5904299706,0.7333333333333333,20075728.915998973,14222175.014058769,10347706.337498188,0.3
conditional,Private Equity,A,nan,3,5967681.577391098,4278242.174942396,-2046586.5279882574,0.5666666666666667,13522503.424110187,6694742.493240814,-1919701.1163140435,0.8333333333333334,83946384.46232216,64615723.73267278,-63675545.792188935,0.5
conditional,Private Equity,B,0-2y,28,17635961.913650095,12820573.723385355,-4375969.048133356,0.5333333333333333,35738673.91381597,24926978.97391024,-9426360.757811839,0.6666666666666666,429744633.44108796,364697746.90415865,-362066240.7787195,0.16666666666666666
conditional,Private Equity,B,10-15y,2,309409.04570502875,173049.39035376871,173049.39035376871,0.6333333333333333,2110069.863822071,1544465.5513186662,-241454.27817666408,0.6,15596150.205399534,13839967.588572348,13839967.588572348,0.16666666666666666
conditional,Private Equity,B,2-4y,27,8415586.29131659,5440935.214579871,-706766.2766852138,0.8333333333333334,27768529.57938875,22269807.262784507,-4012711.787086747,0.6333333333333333,260747156.71864465,246221899.5089444,-246221899.5089444,0.03333333333333333
conditional,Private Equity,B,4-6y,12,2235824.0970903556,1579180.7881887374,-1338429.5538739685,0.6,11333991.714943271,8770756.132358016,-3086379.8925795886,0.7333333333333333,56335148.14758934,51334306.142924786,-51334306.142924786,0.4
conditional,Private Equity,B,6-8y,3,452667.97874745104,280550.3573476936,-46596.93428978215,0.5333333333333333,4047634.6186274234,2163819.4787576953,-293404.67288753047,0.5,40173036.700414136,39281999.600742914,-39281999.600742914,0.0
conditional,Private Equity,B,8-10y,2,986078.0757657203,528503.7403065397,526610.3559415202,0.8,9691606.290572066,3788022.7876649294,-1050826.442712935,0.7333333333333333,16500366.87121317,13857181.282863986,58122.63231546053,0.3
conditional,Private Equity,B,nan,4,3785659.2125331736,2882847.1027893242,-1646291.883116896,0.5333333333333333,8526787.52874654,5226950.695882769,-3711547.828641379,0.6,46199937.689604595,40547295.2310038,-38926022.204243906,0.3333333333333333
conditional,Private Equity,C,0-2y,16,9847085.186230343,7268507.7356527895,-1653492.7017093017,0.5,22248608.734484326,13455463.341738025,3110210.4810812343,0.7666666666666667,96750266.14650977,80516096.12709293,-63675705.044103935,0.4666666666666667
